2605192003_alldets ij = 1188.0,531.0 = ScoX1+  -0.5,   0.8 ra,dec = 215.72,-39.44    6.9 σ for 15 s at 45 cps 2 dets
2605201842_alldets ij = 1155.0,598.0 = ScoX1+   0.8,   0.3 ra,dec = 215.31,-35.29   11.9 σ for 176 s at 17 cps 1 dets
2605210634_alldets ij = 1420.0,1055.0 = ScoX1+   0.0,  -0.6 ra,dec = 250.14, -3.54   13.7 σ for 34 s at 67 cps 4 dets
2605211624_alldets ij = 1546.0,1078.0 = ScoX1+  -0.3,  -0.7 ra,dec = 257.90,-11.42   15.8 σ for 512 s at 128 cps 4 dets
2605211935_alldets ij = 1507.0,1015.0 = ScoX1+  -0.5,   0.3 ra,dec = 257.17, -6.40   19.7 σ for 510 s at 69 cps 4 dets
2605212205_alldets ij = 1192.0,596.0 = ScoX1+  -0.1,   0.5 ra,dec = 218.86,-38.79    5.4 σ for 47 s at 83 cps 4 dets
2605212335_alldets ij = 1273.0,540.0 = ScoX1+   0.3,  -0.5 ra,dec = 226.23,-45.45   11.7 σ for 485 s at 170 cps 4 dets
2605220246_alldets ij = 1312.0,530.0 = ScoX1+  -0.1,   0.6 ra,dec = 231.07,-47.39    7.2 σ for 288 s at 438 cps 4 dets
2605221058_alldets ij = 1214.0,591.0 = ScoX1+  -0.1,   0.1 ra,dec = 221.54,-41.00   29.1 σ for 586 s at 66 cps 4 dets
2605221233_alldets ij = 1228.0,582.0 = ScoX1+   0.1,   0.5 ra,dec = 222.98,-42.28   11.4 σ for 582 s at 58 cps 3 dets
2605221416_alldets ij = 1174.0,642.0 = ScoX1+   0.6,  -0.2 ra,dec = 218.38,-35.86   25.2 σ for 411 s at 48 cps 4 dets
2605221725_alldets ij = 1211.0,601.0 = ScoX1+  -0.5,   0.1 ra,dec = 221.82,-40.74   22.0 σ for 551 s at 31 cps 2 dets
2605221905_alldets ij = 1182.0,637.0 = ScoX1+  -0.5,   0.5 ra,dec = 219.34,-37.07   19.4 σ for 536 s at 46 cps 4 dets
2605222045_alldets ij = 1160.0,678.0 = ScoX1+   0.2,  -0.1 ra,dec = 217.77,-32.89    9.9 σ for 536 s at 42 cps 4 dets
2605222225_alldets ij = 1145.0,727.0 = ScoX1+  -0.4,   1.4 ra,dec = 217.24,-28.22    5.8 σ for 7 s at 65 cps 4 dets
2605230624_alldets ij = 1176.0,665.0 = ScoX1+   0.4,   0.5 ra,dec = 219.30,-35.46   12.2 σ for 377 s at 18 cps 1 dets
2605231110_alldets ij = 1210.0,623.0 = ScoX1+  -0.3,   0.4 ra,dec = 223.08,-40.60   24.2 σ for 422 s at 41 cps 3 dets
2605231608_alldets ij = 1162.0,717.0 = ScoX1+   0.2,   0.2 ra,dec = 218.54,-31.07   21.9 σ for 444 s at 14 cps 2 dets
2605232058_alldets ij = 1168.0,709.0 = ScoX1+   0.1,  -0.2 ra,dec = 219.15,-32.44    9.4 σ for 67 s at 123 cps 4 dets
2605240457_alldets ij = 1198.0,659.0 = ScoX1+  -0.0,  -0.0 ra,dec = 222.93,-38.86   20.1 σ for 506 s at 81 cps 4 dets
2605240627_alldets ij = 1259.0,600.0 = ScoX1+   0.6,   0.9 ra,dec = 231.74,-45.32    7.1 σ for 39 s at 119 cps 4 dets
2605240709_alldets ij = 1431.0,992.0 = ScoX1+  -0.5,   0.3 ra,dec = 248.04, -0.31   20.3 σ for 594 s at 81 cps 2 dets
2605240948_alldets ij = 1197.0,666.0 = ScoX1+  -0.2,   0.0 ra,dec = 223.21,-38.73   36.0 σ for 570 s at 90 cps 4 dets
2605241030_alldets ij = 1523.0,943.0 = ScoX1+  -0.5,  -0.5 ra,dec = 258.43, -3.55   11.2 σ for 597 s at 85 cps 4 dets
2605241123_alldets ij = 1206.0,654.0 = ScoX1+  -0.3,  -0.1 ra,dec = 224.61,-40.20   24.4 σ for 570 s at 51 cps 4 dets
2605241259_alldets ij = 1215.0,645.0 = ScoX1+   0.2,   0.4 ra,dec = 226.00,-41.39   22.7 σ for 571 s at 93 cps 4 dets
2605241309_alldets ij = 1168.0,774.0 = ScoX1+   0.6,   0.6 ra,dec = 219.33,-27.30   23.1 σ for 192 s at 43 cps 4 dets
2605241441_alldets ij = 1181.0,707.0 = ScoX1+   0.1,   0.7 ra,dec = 221.25,-34.95   23.1 σ for 310 s at 61 cps 4 dets
2605241611_alldets ij = 1226.0,634.0 = ScoX1+  -0.2,  -0.2 ra,dec = 228.17,-42.85   12.4 σ for 436 s at 176 cps 4 dets
2605241621_alldets ij = 1172.0,748.0 = ScoX1+   0.6,   0.5 ra,dec = 219.91,-30.59   23.7 σ for 456 s at 28 cps 4 dets
